"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"VIRC","Virco Manufacturing Corporation","2.8532","42377552.448","n/a","United States","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/virc",
"VA","Virgin America Inc.","34.73","1507701538.4","n/a","United States","2014","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/va",
"VHC","VirnetX Holding Corp","3.66","191650721.1","n/a","United States","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/vhc",
"VIRT","Virtu Financial, Inc.","23.29","3224438991.11","n/a","United States","2015","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/virt",
"VSCP","VirtualScopics, Inc.","2.08","6229450.24","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/vscp",
"VGI","Virtus Global Multi-Sector Income Fund","14.18","159599232.3","n/a","United States","2012","n/a","n/a","http://www.nasdaq.com/symbol/vgi",
"VRTS","Virtus Investment Partners, Inc.","103.42","912022611.18","n/a","United States","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/vrts",
"DCA","Virtus Total Return Fund","3.87","106293841.83","n/a","United States","2005","n/a","n/a","http://www.nasdaq.com/symbol/dca",
"VRTU","Virtusa Corporation","52.88","1569540534","n/a","United States","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/vrtu",
"V","Visa Inc.","70.01","153805015906.7","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/v",
"VSH","Vishay Intertechnology, Inc.","9.8","1446186372.4","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/vsh",
"VPG","Vishay Precision Group, Inc.","11.69","153953126.67","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/vpg",
"VGZ","Vista Gold Corporation","0.2732","22509007.2844","n/a","United States","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/vgz",
"VSTO","Vista Outdoor Inc.","46.18","2918030706.56","n/a","United States","2015","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/vsto",
"VC","Visteon Corporation","101.65","4109612627.55","n/a","United States","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/vc",
"VTAE","Vitae Pharmaceuticals, Inc.","15.16","331271211.08","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vtae",
"VTL","Vital Therapies, Inc.","3.22","77330750.42","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vtl",
"VSI","Vitamin Shoppe, Inc","34.15","1007052116.15","n/a","United States","2009","Consumer Non-Durables","Food Chains","http://www.nasdaq.com/symbol/vsi",
"VSLR","Vivint Solar, Inc.","12.66","1348003770.06","n/a","United States","2014","Capital Goods","Building Products","http://www.nasdaq.com/symbol/vslr",
"VVUS","VIVUS, Inc.","1.6","166433710.4","n/a","United States","1994","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vvus",
"VMW","Vmware, Inc.","79.98","33757293606.24","n/a","United States","2007","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/vmw",
"VOC","VOC Energy Trust","3.731","63427000","n/a","United States","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/voc",
"VCRA","Vocera Communications, Inc.","11.51","300668754.94","n/a","United States","2012","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/vcra",
"VISI","Volt Information Sciences, Inc.","9.98","206684762.08","n/a","United States","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/visi",
"VLTC","Voltari Corporation","8.09","73362862.51","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vltc",
"VG","Vonage Holdings Corp.","5.96","1268929611.88","n/a","United States","2006","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vg",
"VNO","Vornado Realty Trust","88.5","16681942462.5","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/vno",
"VNO^G","Vornado Realty Trust","25.163","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vno^g",
"VNO^I","Vornado Realty Trust","25.12","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vno^i",
"VNO^J","Vornado Realty Trust","25.515","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vno^j",
"VNO^K","Vornado Realty Trust","24.7","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vno^k",
"VNO^L","Vornado Realty Trust","22.85","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vno^l",
"VOXX","VOXX International Corporation","7.77","188025825.96","n/a","United States","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/voxx",
"IAE","Voya Asia Pacific High Dividend Equity Income Fund","9.06","114618123.42","n/a","United States","2007","n/a","n/a","http://www.nasdaq.com/symbol/iae",
"IHD","Voya Emerging Markets High Income Dividend Equity Fund","7.75","151433597.25","n/a","United States","2011","n/a","n/a","http://www.nasdaq.com/symbol/ihd",
"VOYA","Voya Financial, Inc.","42.56","9632312838.4","n/a","United States","2013","Finance","Life Insurance","http://www.nasdaq.com/symbol/voya",
"IGA","Voya Global Advantage and Premium Opportunity Fund","10.78","197851506.16","n/a","United States","2005","n/a","n/a","http://www.nasdaq.com/symbol/iga",
"IGD","Voya Global Equity Dividend and Premium Opportunity Fund","7.16","698450303","n/a","United States","2005","n/a","n/a","http://www.nasdaq.com/symbol/igd",
